x,y
-1.067869209714422229e+00,-1.500446318240752808e+00
7.969081275921855445e-01,3.820473886517090217e-02
1.295520065754716121e-01,-1.497881613151825775e+00
-1.110267535040726283e+00,-1.648522096549649429e+00
-1.640568097818630444e-01,-3.403882933089751317e-01
-4.275280835759210918e-01,-1.884267549460177049e+00
3.906768996415963535e-01,1.191094611113361901e-01
-5.074531579769204770e-01,-1.285193731662537031e+00
4.466862872968529463e-01,-1.740533529370432708e-01
-2.394291919462537555e-01,1.726833978508910683e-01
4.653949102070243926e-01,1.274836808019637058e+00
-8.904286258591082026e-01,-5.351114713137458123e-01
-4.704548579929911933e-01,-9.539234637013227491e-01
4.279977099985120548e-01,-2.336912025931746073e-01
2.427514892172566441e-02,3.992930958916533490e-01
6.870793905488233877e-01,4.065322812492826454e-01
8.420830398668838201e-01,2.444323992660129563e-01
5.351442728932148674e-01,5.261890491166518746e-01
8.004329239695493481e-01,9.661898535125914567e-01
-1.574541065185402378e+00,-1.049836607301288582e+00
4.654835502557880256e-01,-1.621649094261900792e-01
-7.692567384096730097e-03,1.189053557852995491e+00
1.850449136648620874e-01,-2.653790276106369750e-01
-8.934842676490700741e-01,5.916203815769970342e-01
-3.132082448972427491e-01,1.232202593462980028e-01
-1.127663466967332717e-01,-3.618446018242206241e-01
1.026751247473469242e+00,7.797286394971536527e-01
-4.225722635834702756e-02,3.725480101278773604e-01
-9.924689245701137086e-01,-3.340803289034600665e-01
-5.387212644512895388e-01,8.716805511189808231e-02
6.466560100208098127e+00,7.885911568498137569e+00
7.362696154290372164e+00,6.789216534875746056e+00
7.345434494149348126e+00,6.946562729256927859e+00
7.800182813656882708e+00,8.074672777053486072e+00
8.545435190754144372e+00,6.012527971274174377e+00
5.978857335375626469e+00,6.643288767433440434e+00
7.113163297047783828e+00,7.619544985586183650e+00
7.223187611573997025e+00,5.570087807367166022e+00
6.783481066243947311e+00,7.585466484438091683e+00
7.162701547691479931e+00,7.538823272938597775e+00
6.842790262711605287e+00,6.858042608081682090e+00
7.131918824675410384e+00,7.289950300377672221e+00
7.140219076809033005e+00,7.084151820470282246e+00
6.525770149478952398e+00,7.266977913637990838e+00
7.086140646810808796e+00,7.798665730525600637e+00
7.847762962964154099e+00,7.130925358383104040e+00
6.734633466914025313e+00,6.548349397539072747e+00
7.299455729552951411e+00,7.054687686786697220e+00
6.756858734267773059e+00,7.030827633105914742e+00
6.561593198902895274e+00,7.493583184777905082e+00
6.683832359777611920e+00,7.865857701683143688e+00
7.285311676062367958e+00,7.419723398947626336e+00
6.225780409075030164e+00,7.119771467029660350e+00
7.523652488421619822e+00,6.325631837239917843e+00
6.811755089127487395e+00,7.023061967132199435e+00
6.029059431488819065e+00,7.222851343267734592e+00
7.598325931880577144e+00,6.392230449699766837e+00
7.247873438631065035e+00,6.072075501075397064e+00
6.972638142996508748e+00,5.857476411135544403e+00
7.792962066036115409e+00,7.289136343205957935e+00
